Player,Ball lands,Ball hit from,Stroke Type,Ball hit to,In/out,Forced/Unforced,Double Fault,End of Point,End of Game,End of Set,End of Match
N,Z7,Z11,BT,Z2,In,,,,,,
F,Z2,Z12,FT,Z9,In,,,,,,
N,Z9,Z13,BT,Z16,In,,,,,,
F,Z16,Z4,BV,,Net,Unforced,,Yes,Yes,,
F,,Z12,S,Z1,In,,,,,,
N,Z1,Z11,BT,Z2,In,,,,,,
F,Z2,Z7,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z5,In,,,,,,
F,Z5,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z9,In,,,,,,
F,Z9,Z13,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
F,,Z13,S,Z6,In,,,,,,
N,Z6,Z14,FT,,Net,Forced,,Yes,,,
F,,Z12,S,Z4,Wide,,,,,,
F,,Z12,S,Z3,In,,,,,,
N,Z3,Z11,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z7,Wide,Unforced,,Yes,,,
F,,Z13,S,Z6,In,,,,,,
N,Z6,,,,No Hit,Forced,,Yes,,,
F,,Z12,S,Z1,In,,,,,,
N,Z1,Z11,BT,,Net,Unforced,,Yes,Yes,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z7,Wide,Unforced,,Yes,,,
N,,Z13,S,Z6,Wide,,,,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,FT,Z9,In,,,,,,
N,Z9,Z13,BT,Z8,In,,,,,,
F,Z8,Z13,FT,Z5,In,,,,,,
N,Z5,Z14,FT,,Net,Unforced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z12,Long,Unforced,,Yes,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,BT,Z5,In,,,,,,
F,Z5,Z14,FT,Z10,In,,,,,,
N,Z10,Z14,BT,Z8,In,,,,,,
F,Z8,Z12,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z14,Long,Unforced,,Yes,,,
F,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,BT,Z7,In,,,,,,
F,Z7,Z12,BT,Z10,In,,,,,,
N,Z10,Z13,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z10,In,,,,,,
N,Z10,Z13,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z3,In,,,,,,
N,Z3,Z13,FT,Z7,In,,,,,,
F,Z7,Z11,BT,Z7,In,,,,,,
N,Z7,Z12,FT,,Net,Unforced,,Yes,Yes,,
F,,Z12,S,Z4,Wide,,,,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z8,In,,,,,,
F,Z8,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z7,In,,,,,,
F,Z7,Z12,FT,Z1,Wide,Unforced,,Yes,,,
F,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z2,In,,,,,,
N,Z2,Z11,BS,Z1,Wide,Unforced,,Yes,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z2,In,,,,,,
F,Z2,Z12,FT,Z10,In,,,,,,
N,Z10,Z13,FT,Z5,In,,,,,,
F,Z5,Z10,FT,Z10,In,,,,,,
N,Z10,Z14,FT,Z9,In,,,,,,
F,Z9,Z14,FT,Z2,In,,,,,,
N,Z2,Z12,BT,Z10,In,,,,,,
F,Z10,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z9,In,,,,,,
F,Z9,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z5,In,,,,,,
N,Z5,Z13,FT,Z7,In,,,,,,
F,Z7,Z12,FT,Z8,In,,,,,,
N,Z8,Z11,FT,Z5,In,,,,,,
F,Z5,Z14,BT,Z10,In,,,,,,
N,Z10,Z14,FT,,Net,Unforced,,Yes,,,
F,,Z13,S,Z4,In,,,,,,
N,Z4,,,,No Hit,Forced,,Yes,,,
F,,Z12,S,Z3,In,,,,,,
N,Z3,,,,No Hit,Forced,,Yes,Yes,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z2,In,,,,,,
N,Z2,Z7,FT,Z7,In,,,,,,
F,Z7,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BT,Z8,In,,,,,,
N,Z8,Z12,BT,,Net,Unforced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z5,In,,,,,,
F,Z5,Z13,BT,,Net,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z7,In,,,,,,
F,Z7,,,,No Hit,Unforced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z5,In,,,,,,
F,Z5,Z13,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z9,In,,,,,,
F,Z9,Z14,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z8,In,,,,,,
F,Z8,Z12,FT,Z10,In,,,,,,
N,Z10,Z14,FT,,Net,Unforced,,Yes,,,
N,,Z13,S,Z6,In,,,,,,
F,Z6,Z14,BT,Z7,Wide,Unforced,,Yes,Yes,,
F,,Z12,S,Z1,In,,,,,,
N,Z1,Z11,BT,Z4,In,,,,,,
F,Z4,Z9,FT,Z9,In,,,,,,
N,Z9,Z13,FT,Z5,In,,,,,,
F,Z5,,,,No Hit,Forced,,Yes,,,
F,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,Z10,In,,,,,,
F,Z10,Z14,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z2,In,,,,,,
F,Z2,Z12,FT,Z3,In,,,,,,
N,Z3,Z11,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z7,Wide,Unforced,,Yes,,,
F,,Z12,S,,Net,,,,,,
F,,Z12,S,Z3,In,,,,,,
N,Z3,Z12,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z12,Long,Unforced,,Yes,,,
F,,Z13,S,Z6,Wide,,,,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z14,FT,,Net,Unforced,,Yes,,,
F,,Z12,S,Z1,In,,,,,,
N,Z1,Z11,BT,Z5,In,,,,,,
F,Z5,Z10,FT,Z10,In,,,,,,
N,Z10,Z14,FS,Z7,In,,,,,,
F,Z7,Z7,FS,Z8,In,,,,,,
N,Z8,,,,No Hit,Forced,,Yes,,,
F,,Z13,S,Z4,In,,,,,,
N,Z4,Z13,BT,,Net,Unforced,,Yes,Yes,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z12,Long,Unforced,,Yes,,,
N,,Z13,S,,Net,,,,,,
N,,Z13,S,Z6,In,,,,,,
F,Z6,Z14,BT,Z8,In,,,,,,
N,Z6,Z12,FT,Z5,In,,,,,,
F,Z5,Z13,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z2,In,,,,,,
N,Z2,Z12,BT,Z8,In,,,,,,
F,Z8,Z12,FT,Z9,In,,,,,,
N,Z9,Z13,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z9,In,,,,,,
F,Z9,Z14,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z7,In,,,,,,
F,Z7,Z12,FT,Z1 ,In,,,,,,
N,Z1 ,Z11,BT,Z10,In,,,,,,
F,Z10,Z13,BT,,Net,Unforced,,Yes,,,
N,,Z12,S,,Net,,,,,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,FT,Z2,In,,,,,,
N,Z2,Z12,BT,Z10,In,,,,,,
F,Z10,Z14,BS,Z7,In,,,,,,
N,Z7,Z11,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z2,In,,,,,,
N,Z2,Z12,FT,Z5,In,,,,,,
F,Z5,Z13,BT,,Net,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z10,In,,,,,,
F,Z10,Z14,FT,Z1 ,In,,,,,,
N,Z1 ,Z1,FT,Z10,In,,,,,,
F,Z10,Z9,BT,Z7,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z3,In,,,,,,
N,Z3,Z7,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z2,In,,,,,,
F,Z2,Z11,FS,Z10,In,,,,,,
N,Z10,Z10,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z7,In,,,,,,
F,Z7,Z11,FT,Z3,In,,,,,,
N,Z3,Z11,BS,Z6,In,,,,,,
F,Z6,Z5,BT,Z7,In,,,,,,
N,Z7,Z11,BT,Z16,In,,,,,,
F,Z16,Z3,FV,Z2,In,,,,,,
N,Z2,Z2,BT,Z6,Wide,Unforced,,Yes,,,
N,,Z13,S,Z6,In,,,,,,
F,Z6,Z14,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z1,Wide,Unforced,,Yes,Yes,,
F,,Z12,S,,Net,,,,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,,Net,Unforced,,Yes,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z13,BT,Z9,In,,,,,,
F,Z9,Z10,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z16,In,,,,,,
F,Z16,Z3,FV,,Net,Unforced,,Yes,,,
F,,Z12,S,Z1,Wide,,,,,,
F,,Z12,S,Z1,In,,,,,,
N,Z1,Z11,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z2,In,,,,,,
N,Z2,Z11,BT,Z10,In,,,,,,
F,Z10,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,FS,Z5,In,,,,,,
F,Z5,Z9,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z15,In,,,,,,
F,Z15,Z1,FV,Z8,In,,,,,,
N,Z8,,,,No Hit,Forced,,Yes,,,
F,,Z13,S,Z6,In,,,,,,
N,Z6,,,,No Hit,Forced,,Yes,,,
F,,Z12,S,Z7,Long,,,,,,
F,,Z12,S,Z1,In,,,,,,
N,Z1,Z11,BT,Z13,Long,Unforced,,Yes,Yes,,
N,,Z12,S,Z4,Wide,,,,,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,FT,Z8,In,,,,,,
N,Z8,Z12,FT,Z9,In,,,,,,
F,Z9,Z13,BT,Z1,In,,,,,,
N,Z1,Z11,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z5,In,,,,,,
N,Z5,Z14,FT,Z10,In,,,,,,
F,Z10,Z14,BT,,Net,Unforced,,Yes,,,
N,,Z13,S,Z6,In,,,,,,
F,Z14,Z14,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z5,In,,,,,,
F,Z5,Z14,FT,Z7,Wide,Unforced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z9,In,,,,,,
N,Z9,Z12,FT,Z10,In,,,,,,
F,Z10,Z14,BS,Z5,In,,,,,,
N,Z5,Z10,FT,Z10,Wide,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BT,,Net,Unforced,,Yes,,,
N,,Z12,S,Z3,Let,,,,,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z9,In,,,,,,
N,Z9,Z12,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z8,In,,,,,,
N,Z8,Z12,BT,Z7,In,,,,,,
F,Z7,Z12,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z4,In,,,,,,
F,Z4,Z13,FT,,Net,Unforced,,Yes,Yes,,
F,,Z12,S,Z1,In,,,,,,
N,Z1,Z11,BT,Z8,In,,,,,,
F,Z8,Z12,FT,Z2,In,,,,,,
N,Z2,Z11,BT,Z7,In,,,,,,
F,Z7,Z8,FT,Z10,In,,,,,,
N,Z10,,,,No Hit,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BT,Z3,In,,,,,,
N,Z3,Z12,FT,Z10,In,,,,,,
F,Z10,Z14,BS,Z12,Long,Unforced,,Yes,,,
N,,Z12,S,Z4,In,,,,,,
F,Z4,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z10,In,,,,,,
F,Z10,Z13,BS,Z10,In,,,,,,
N,Z10,Z14,FT,Z1,Wide,Unforced,,Yes,,,
F,,Z13,S,Z3,Wide,,,,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z13,FT,Z9,In,,,,,,
F,Z9,Z13,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z10,In,,,,,,
F,Z10,Z13,BS,,Net,Unforced,,Yes,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z10,In,,,,,,
F,Z10,Z14,BT,Z9,In,,,,,,
N,Z9,Z13,FT,Z9,In,,,,,,
F,Z9,Z14,FT,Z10,In,,,,,,
N,Z10,Z14,FT,Z9,In,,,,,,
F,Z9,Z14,FT,Z12,Long,Unforced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BT,Z13,Long,Unforced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z10,In,,,,,,
N,Z10,Z13,FT,Z10,In,,,,,,
F,Z10,Z14,BT,Z4,In,,,,,,
N,Z4,Z13,FT,Z8,In,,,,,,
F,Z8,Z12,FT,Z5,In,,,,,,
N,Z5,Z13,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z7,In,,,,,,
N,Z7,Z12,BT,Z5,In,,,,,,
F,Z5,Z13,FT,Z4,In,,,,,,
N,Z4,Z13,FT,Z4,In,,,,,,
F,Z4,Z14,FT,Z10,In,,,,,,
N,Z10,Z14,FT,Z10,In,,,,,,
F,Z10,Z14,FT,Z7,In,,,,,,
N,Z7,Z11,BT,Z9,In,,,,,,
F,Z9,Z13,FT,Z13,Long,Unforced,,Yes,,,
F,,Z13,S,,Net,,,,,,
F,,Z13,S,Z5,In,,,,,,
N,Z5,Z13,FT,Z9,In,,,,,,
F,Z9,Z14,FT,Z8,In,,,,,,
N,Z8,Z12,BT,Z10,In,,,,,,
F,Z10,Z13,BT,Z2,In,,,,,,
N,Z2,Z12,BT,Z10,In,,,,,,
F,Z10,Z13,BT,Z10,In,,,,,,
N,Z10,Z14,FT,Z4,In,,,,,,
F,Z4,Z14,FT,Z7,In,,,,,,
N,Z7,Z12,BT,Z8,In,,,,,,
F,Z8,Z12,FT,Z7,In,,,,,,
N,Z7,Z11,BS,Z16,In,,,,,,
F,Z16,Z4,BV,Z10,In,,,,,,
N,Z10,,,,No Hit,Forced,,Yes,,,
F,,Z12,S,Z2,In,,,,,,
N,Z2,Z11,BT,Z9,In,,,,,,
F,Z9,Z9,FT,Z10,In,,,,,,
N,Z10,Z14,FT,Z16,In,,,,,,
F,Z16,Z3,FV,Z7,In,,,,,,
N,Z7,,,,No Hit,Forced,,Yes,,,
N,,Z13,S,Z5,In,,,,,,
F,Z5,Z14,BT,Z12,Long,Forced,,Yes,,,
N,,Z12,S,Z3,In,,,,,,
F,Z3,Z12,BT,Z8,In,,,,,,
N,Z8,Z12,FT,Z10,In,,,,,,
F,Z10,Z13,BT,Z1,In,,,,,,
N,Z1 ,Z11,BT,Z2,In,,,,,,
F,Z2,Z11,FT,Z3,In,,,,,,
N,Z3,Z11,FT,Z10,In,,,,,,
F,Z10,Z13,BS,Z9,In,,,,,,
N,Z9,Z9,FV,Z5,In,,,,,,
F,Z5,,,,No Hit,Forced,,Yes,Yes,Yes,Yes
